FR;FRNW;FRNN;Weibull_FR;Normal_FR;FW;FWNW;FWNN;Weibull_FW;Normal_FW;FT;FTNW;FTNW;Weibull_FT;Normal_FT;;;Weibull;Normal;;Weibull;Normal;;Weibull;Normal
267;-5.586025021;-13.65123265;0;8.70922E-41;25;-26.4528873;-69.63632381;0;0;106.5;-2.937121268;-9.692710108;0;9.06776E-21;;Loc;268.8437861;269.1349028;;26.34064971;26.38729174;;107.7912675;108.195
267.004995;-5.570891908;-13.61929304;0;1.34622E-40;25.001998;-26.41346394;-69.53603235;0;0;106.500999;-2.934848937;-9.686997407;0;9.58386E-21;;Scale;0.330071213;0.156389014;;0.050680657;0.019921955;;0.439637093;0.174873692
267.00999;-5.555758795;-13.58735342;0;2.07879E-40;25.003996;-26.37404057;-69.43574089;0;0;106.501998;-2.932576606;-9.681284707;0;1.0129E-20;;Shape;2;0;;2;0;;2;0
267.014985;-5.540625682;-13.55541381;0;3.20673E-40;25.00599401;-26.33461721;-69.33544943;0;0;106.502997;-2.930304275;-9.675572007;0;1.07048E-20;;;;;;;;;;
267.01998;-5.525492569;-13.52347419;0;4.94164E-40;25.00799201;-26.29519384;-69.23515797;0;0;106.503996;-2.928031944;-9.669859306;0;1.1313E-20;;;;;;;;;;
267.024975;-5.510359455;-13.49153458;0;7.6074E-40;25.00999001;-26.25577048;-69.13486651;0;0;106.504995;-2.925759613;-9.664146606;0;1.19553E-20;;;;;;;;;;
267.02997;-5.495226342;-13.45959496;0;1.16993E-39;25.01198801;-26.21634712;-69.03457505;0;0;106.505994;-2.923487282;-9.658433906;0;1.26337E-20;;;;;;;;;;
267.034965;-5.480093229;-13.42765534;0;1.79737E-39;25.01398601;-26.17692375;-68.93428359;0;0;106.506993;-2.921214951;-9.652721205;0;1.33501E-20;;;;;;;;;;
267.03996;-5.464960116;-13.39571573;0;2.7585E-39;25.01598402;-26.13750039;-68.83399212;0;0;106.507992;-2.91894262;-9.647008505;0;1.41067E-20;;;;;;;;;;
267.044955;-5.449827003;-13.36377611;0;4.22928E-39;25.01798202;-26.09807702;-68.73370066;0;0;106.508991;-2.916670289;-9.641295805;0;1.49058E-20;;;;;;;;;;
267.04995;-5.43469389;-13.3318365;0;6.47764E-39;25.01998002;-26.05865366;-68.6334092;0;0;106.50999;-2.914397958;-9.635583104;0;1.57495E-20;;;;;;;;;;
267.0549451;-5.419560777;-13.29989688;0;9.91115E-39;25.02197802;-26.0192303;-68.53311774;0;0;106.510989;-2.912125627;-9.629870404;0;1.66405E-20;;;;;;;;;;
267.0599401;-5.404427664;-13.26795727;0;1.51491E-38;25.02397602;-25.97980693;-68.43282628;0;0;106.511988;-2.909853296;-9.624157704;0;1.75813E-20;;;;;;;;;;
267.0649351;-5.389294551;-13.23601765;0;2.31318E-38;25.02597403;-25.94038357;-68.33253482;0;0;106.512987;-2.907580965;-9.618445003;0;1.85746E-20;;;;;;;;;;
267.0699301;-5.374161438;-13.20407803;0;3.52847E-38;25.02797203;-25.9009602;-68.23224336;0;0;106.513986;-2.905308634;-9.612732303;0;1.96235E-20;;;;;;;;;;
267.0749251;-5.359028325;-13.17213842;0;5.37677E-38;25.02997003;-25.86153684;-68.1319519;0;0;106.514985;-2.903036303;-9.607019603;0;2.07309E-20;;;;;;;;;;
267.0799201;-5.343895212;-13.1401988;0;8.1849E-38;25.03196803;-25.82211348;-68.03166044;0;0;106.515984;-2.900763972;-9.601306902;0;2.19001E-20;;;;;;;;;;
267.0849151;-5.328762098;-13.10825919;0;1.24469E-37;25.03396603;-25.78269011;-67.93136898;0;0;106.516983;-2.898491641;-9.595594202;0;2.31345E-20;;;;;;;;;;
267.0899101;-5.313628985;-13.07631957;0;1.8909E-37;25.03596404;-25.74326675;-67.83107752;0;0;106.517982;-2.89621931;-9.589881502;0;2.44377E-20;;;;;;;;;;
267.0949051;-5.298495872;-13.04437996;0;2.86966E-37;25.03796204;-25.70384338;-67.73078606;0;0;106.518981;-2.893946979;-9.584168801;0;2.58134E-20;;;;;;;;;;
267.0999001;-5.283362759;-13.01244034;0;4.35061E-37;25.03996004;-25.66442002;-67.6304946;0;0;106.51998;-2.891674648;-9.578456101;0;2.72657E-20;;;;;;;;;;
267.1048951;-5.268229646;-12.98050072;0;6.58912E-37;25.04195804;-25.62499665;-67.53020314;0;0;106.520979;-2.889402317;-9.572743401;0;2.87987E-20;;;;;;;;;;
267.1098901;-5.253096533;-12.94856111;0;9.96921E-37;25.04395604;-25.58557329;-67.42991168;0;0;106.521978;-2.887129986;-9.5670307;0;3.0417E-20;;;;;;;;;;
267.1148851;-5.23796342;-12.91662149;0;1.50678E-36;25.04595405;-25.54614993;-67.32962022;0;0;106.522977;-2.884857655;-9.561318;0;3.21251E-20;;;;;;;;;;
267.1198801;-5.222830307;-12.88468188;0;2.27509E-36;25.04795205;-25.50672656;-67.22932876;0;0;106.523976;-2.882585324;-9.555605299;0;3.39281E-20;;;;;;;;;;
267.1248751;-5.207697194;-12.85274226;0;3.43165E-36;25.04995005;-25.4673032;-67.1290373;0;0;106.524975;-2.880312993;-9.549892599;0;3.58311E-20;;;;;;;;;;
267.1298701;-5.192564081;-12.82080265;0;5.17088E-36;25.05194805;-25.42787983;-67.02874584;0;0;106.525974;-2.878040662;-9.544179899;0;3.78395E-20;;;;;;;;;;
267.1348651;-5.177430968;-12.78886303;0;7.78364E-36;25.05394605;-25.38845647;-66.92845438;0;0;106.526973;-2.875768331;-9.538467198;0;3.99593E-20;;;;;;;;;;
267.1398601;-5.162297855;-12.75692341;0;1.17046E-35;25.05594406;-25.34903311;-66.82816292;0;0;106.527972;-2.873496;-9.532754498;0;4.21964E-20;;;;;;;;;;
267.1448551;-5.147164741;-12.7249838;0;1.75829E-35;25.05794206;-25.30960974;-66.72787146;0;0;106.528971;-2.871223669;-9.527041798;0;4.45573E-20;;;;;;;;;;
267.1498501;-5.132031628;-12.69304418;0;2.63864E-35;25.05994006;-25.27018638;-66.62758;0;0;106.52997;-2.868951338;-9.521329097;0;4.70488E-20;;;;;;;;;;
267.1548452;-5.116898515;-12.66110457;0;3.95573E-35;25.06193806;-25.23076301;-66.52728854;0;0;106.530969;-2.866679007;-9.515616397;0;4.9678E-20;;;;;;;;;;
267.1598402;-5.101765402;-12.62916495;0;5.92419E-35;25.06393606;-25.19133965;-66.42699708;0;0;106.531968;-2.864406676;-9.509903697;0;5.24524E-20;;;;;;;;;;
267.1648352;-5.086632289;-12.59722534;0;8.86318E-35;25.06593407;-25.15191628;-66.32670562;0;0;106.532967;-2.862134345;-9.504190996;0;5.53799E-20;;;;;;;;;;
267.1698302;-5.071499176;-12.56528572;0;1.32467E-34;25.06793207;-25.11249292;-66.22641416;0;0;106.533966;-2.859862014;-9.498478296;0;5.84689E-20;;;;;;;;;;
267.1748252;-5.056366063;-12.5333461;0;1.97779E-34;25.06993007;-25.07306956;-66.1261227;0;0;106.534965;-2.857589683;-9.492765596;0;6.17282E-20;;;;;;;;;;
267.1798202;-5.04123295;-12.50140649;0;2.94993E-34;25.07192807;-25.03364619;-66.02583124;0;0;106.535964;-2.855317352;-9.487052895;0;6.5167E-20;;;;;;;;;;
267.1848152;-5.026099837;-12.46946687;0;4.39541E-34;25.07392607;-24.99422283;-65.92553978;0;0;106.536963;-2.853045021;-9.481340195;0;6.87952E-20;;;;;;;;;;
